order_id,date,customer,product,quantity,unit_price,line_total
1001,2026-01-05,Alice Johnson,Wireless Mouse,2,19.99,39.98
1002,2026-01-06,Bob Smith,Usb-C Cable,3,12.5,37.5
1003,2026-01-07,Carla Diaz,Keyboard,1,45.0,45.0
1004,2026-01-08,Dan Lee,Monitor Stand,1,1299.0,1299.0
1005,2026-01-09,Alice Johnson,Wireless Mouse,1,19.99,19.99
1006,2026-01-10,Eve Turner,Usb-C Cable,4,12.5,50.0
1007,2026-01-11,Frank Osei,Keyboard,2,45.0,90.0
1008,2026-01-12,(Unknown),Monitor Stand,1,99.99,99.99
1013,2026-01-16,Karen Wu,Notebook,5,4.99,24.95
1014,2026-02-02,Bob Smith,Usb-C Cable,2,12.5,25.0
1015,2026-02-03,Carla Diaz,Keyboard,1,45.0,45.0
1016,2026-02-04,Alice Johnson,Wireless Mouse,3,19.99,59.97
1017,2026-02-05,Liam Ng,Monitor Stand,1,1299.0,1299.0
1018,2026-02-06,Eve Turner,Notebook,10,4.99,49.9
1019,2026-02-07,Frank Osei,Desk Lamp,1,29.99,29.99
1020,2026-02-08,Grace Kim,Usb-C Cable,6,12.5,75.0
